CITY NAME,LONGITUDE,LATITUDE,WEATHER ID,DESCRIPTION,MAIN,ICON,BASE,TEMPERATURE,FEELS  LIKE,MIN TEMP,MAX TEMP,PRESSURE,HUMIDITY,SEA_LEAVEL,GRND_LEVEL,VISIBILITY,WIND_SPEED,WIND_DEG,WIND_GUST,RAIN_1HR,CLOUDS,DATA CALCULATION TIME,COUNTRY,SUNRISE,SUNSET,TIMEZONE,CITYID,COD
Geneva,-88.3054,41.8875,804,overcast clouds,Clouds,04n,stations,264.23,257.23,263.51,265.4,1016,79,None,None,9656,7.72,260,None,,100,17:00:20 PM,US,18:45:57 PM,03:53:49 AM,-21600,4893591,200
Zurich,8.55,47.3667,804,overcast clouds,Clouds,04d,stations,272.18,272.18,270.55,273.86,1030,87,None,None,7000,0.51,0,None,,100,17:01:02 PM,CH,12:38:23 PM,21:06:17 PM,3600,2657896,200
Lucerne,8.3064,47.0505,804,overcast clouds,Clouds,04d,stations,271.76,269,270.49,273.81,1030,92,None,None,9000,2.06,240,None,,100,17:04:36 PM,CH,12:38:05 PM,21:08:33 PM,3600,2659811,200
Winterthur,8.75,47.5,804,overcast clouds,Clouds,04d,stations,271.83,271.83,270.13,273.68,1030,86,None,None,7000,0.51,0,None,,100,17:01:45 PM,CH,12:38:08 PM,21:04:56 PM,3600,2657970,200
Basel,7.5733,47.5584,500,light rain,Rain,10d,stations,273.75,269.2,270.63,276.03,1024,82,None,None,7000,4.63,120,None,,42,17:04:37 PM,CH,12:43:05 PM,21:09:24 PM,3600,2661604,200
Bern,7.4474,46.9481,804,overcast clouds,Clouds,04d,stations,273.62,271.17,272.31,275.26,1029,78,None,None,10000,2.06,120,None,,100,17:04:37 PM,CH,12:41:06 PM,21:12:24 PM,3600,2661552,200
Chur,9.5329,46.8499,800,clear sky,Clear,01d,stations,279.78,278.03,278.22,281.51,1028,66,1028,956,10000,2.44,184,3.58,,2,17:04:38 PM,CH,12:32:22 PM,21:04:27 PM,3600,2661169,200
Montreux,6.9114,46.433,802,scattered clouds,Clouds,03d,stations,276.3,274.61,273.47,278.14,1029,70,None,None,10000,1.79,69,3.13,,45,17:04:38 PM,CH,12:41:12 PM,21:16:35 PM,3600,2659601,200
Fribourg,7.1513,46.8024,802,scattered clouds,Clouds,03d,stations,272.8,270.93,271.51,275.09,1029,87,None,None,10000,1.54,280,None,,40,17:04:39 PM,CH,12:41:42 PM,21:14:10 PM,3600,2660718,200
Lausanne,6.6328,46.516,803,broken clouds,Clouds,04d,stations,275.45,275.45,273.01,277.67,1029,87,1029,972,10000,1.15,258,1.76,,59,17:04:40 PM,CH,12:42:39 PM,21:17:22 PM,3600,2659994,200
Varanasi,83,25.3333,721,haze,Haze,50d,stations,295.2,294.92,295.2,295.2,1013,56,None,None,2000,1.03,0,None,,0,17:01:20 PM,IN,06:37:36 AM,17:11:17 PM,19800,1253405,200
Hamburg,10,53.55,800,clear sky,Clear,01d,stations,270.33,266.18,268.87,271.47,1031,76,None,None,10000,3.09,140,None,,0,16:59:57 PM,DE,13:02:27 PM,20:30:37 PM,3600,2911298,200
Munich,11.5755,48.1374,802,scattered clouds,Clouds,03d,stations,268.48,268.48,267.51,269.81,1031,87,None,None,10000,0.45,97,2.24,,30,16:59:37 PM,DE,12:29:30 PM,20:50:58 PM,3600,2867714,200
Frankfurt am Main,8.6833,50.1167,802,scattered clouds,Clouds,03d,stations,268.55,263.55,267.43,270.58,1031,87,None,None,10000,3.6,80,None,,40,17:04:42 PM,DE,12:49:55 PM,20:53:41 PM,3600,2925533,200
Cologne,6.95,50.9333,800,clear sky,Clear,01d,stations,272.36,266.36,271.09,274.12,1032,68,None,None,10000,6.69,140,None,,0,17:01:03 PM,DE,13:00:47 PM,20:56:42 PM,3600,2886242,200
Stuttgart,9.177,48.7823,801,few clouds,Clouds,02d,stations,270.6,268.76,267.95,273.43,1030,89,1030,998,10000,1.35,136,2.77,,21,17:04:43 PM,DE,12:41:53 PM,20:57:46 PM,3600,2825297,200
Dresden,13.7383,51.0509,800,clear sky,Clear,01d,stations,269.91,265.21,269.8,271.05,1028,88,None,None,10000,3.6,150,None,,0,17:00:01 PM,DE,12:34:12 PM,20:28:58 PM,3600,2935022,200
Leipzig,12.375,51.342,800,clear sky,Clear,01d,stations,269.58,266.22,267.62,272.98,1031,76,None,None,10000,2.24,120,2.24,,0,17:04:44 PM,DE,12:41:06 PM,20:32:58 PM,3600,6548737,200
Düsseldorf,6.7762,51.2217,800,clear sky,Clear,01d,stations,272.83,267.47,271.16,274.8,1026,70,None,None,10000,5.66,130,None,,0,17:00:15 PM,DE,13:02:54 PM,20:55:58 PM,3600,2934246,200
Schwerin,11.4132,53.6294,801,few clouds,Clouds,02d,stations,268.91,263.94,267.94,269.1,1031,78,1031,1025,10000,3.66,161,8.47,,22,17:04:45 PM,DE,12:57:15 PM,20:24:30 PM,3600,2834282,200
Toronto,-79.4163,43.7001,803,broken clouds,Clouds,04n,stations,270.8,264.63,268.9,271.81,1008,81,None,None,10000,6.17,270,None,,75,17:03:46 PM,CA,18:16:31 PM,03:12:07 AM,-18000,6167865,200
Vancouver,-123.1193,49.2497,500,light rain,Rain,10n,stations,274.12,272.44,272.72,275.72,1012,96,None,None,10000,1.54,10,None,,100,17:04:46 PM,CA,21:33:23 PM,05:44:59 AM,-28800,6173331,200
Ottawa,-75.6981,45.4112,802,scattered clouds,Clouds,03n,stations,269.11,264.71,268.21,270.24,1007,96,None,None,10000,3.09,210,None,,40,17:00:49 PM,CA,18:07:51 PM,02:51:02 AM,-18000,6094817,200
Montreal,-73.5878,45.5088,804,overcast clouds,Clouds,04n,stations,271.45,266.34,270.51,272.04,1007,92,None,None,10000,4.63,250,7.72,,100,17:01:06 PM,CA,17:59:47 PM,02:42:13 AM,-18000,6077243,200
Calgary,-114.0853,51.0501,701,mist,Mist,50n,stations,251.76,244.76,250.24,252.95,1022,74,None,None,2012,8.23,350,10.8,,100,17:04:47 PM,CA,21:05:43 PM,05:00:22 AM,-25200,5913490,200
Québec,-71.2145,46.8123,600,light snow,Snow,13n,stations,272.2,266.41,271.59,273.19,1007,95,None,None,3219,6.17,80,None,,100,17:04:48 PM,CA,17:55:21 PM,02:27:39 AM,-18000,6325494,200
Edmonton,-113.4687,53.5501,804,overcast clouds,Clouds,04n,stations,253.45,246.67,252.51,254.14,1031,80,None,None,355,2.57,70,None,,100,17:03:34 PM,CA,21:16:34 PM,04:44:35 AM,-25200,5946768,200
Halifax,-63.5724,44.6453,501,moderate rain,Rain,10n,stations,275.37,273.53,274.65,275.62,1001,94,None,None,34,1.79,0,3.13,,100,17:03:58 PM,CA,17:16:30 PM,02:05:21 AM,-14400,6324729,200
Winnipeg,-97.147,49.8844,804,overcast clouds,Clouds,04n,stations,256.07,249.07,255.4,256.19,1024,80,None,None,4828,6.71,360,None,,100,17:04:50 PM,CA,19:52:21 PM,03:58:11 AM,-21600,6183235,200
Hong Kong,114.1577,22.2855,801,few clouds,Clouds,02n,stations,286.78,284.98,285.35,287.25,1023,30,None,None,10000,4.92,30,None,,20,17:01:53 PM,HK,04:26:37 AM,15:12:55 PM,28800,1819729,200
New York,-74.006,40.7143,800,clear sky,Clear,01n,stations,273.34,268.27,270.75,274.94,1012,66,None,None,10000,5.36,360,7.6,,0,16:50:23 PM,US,17:44:58 PM,03:00:22 AM,-18000,5128581,200
Chicago,-87.65,41.85,804,overcast clouds,Clouds,04n,stations,264.77,257.77,263.87,265.57,1017,79,None,None,10000,6.17,260,None,,100,17:04:52 PM,US,18:43:12 PM,03:51:19 AM,-21600,4887398,200
